Opinion ID,Author,Recommendation,Stars,Content,Advantages,Disadvantages,Helpful,Unhelpful,Publishing date,Purchase date
18654016,o...e,No recommendation,"4,5/5","Rewelacyjne. Bardzo intuicyjne w obsłudze, a mnogoac funkcji i ustawień sprawia, że aż chce się wziąć do ręki i działać. Pełny pakiet Combo gwarantuje uzytecznosc na wielu płaszczyznach - od vlogowania, przez relacje, materiał na social media, czy teledyski. Polecam każdemu, kto się jeszcze waha. W zestawie znajdziemy niemal wszystkie potrzebne dodatki. Brakuje drugiego mikrofonu dla drugiej osoby i byłoby idealnie. Szkoda, że w tym zestawie nie ma szkieł ochronny h, ani jakiejś folii na ekran i obiektyw w cenie, ale trzeba się z tym pogodzić.
Jedna uwaga.. Aktualizacja i podłączenie do smartfona trochę skomplikowane. Daleko temu urządzeniu pod tym względem do prostych kamer WiFi, czy nawet drogich bezlusterkowcow, ale ogólnie rzecz ujmując - dramatu nie ma.
Sterowanie z aplikacji powala - mnóstwo możliwości, aż ma się wrażenie, że steruję się ważnym rejestrator em lub kamerą sportowa, a tu urządzenie mieści się w dłoni, ma mnóstwo możliwości zastosowania, a efekty powalają.
Polecam serdecznie","['etui', 'funkcje ok', 'jakość wykonania', 'obraz ok', 'ostrość', 'przegrzewa się', 'super obraz', 'wygląd', 'zgrabna mała', 'żywotność głowic']","['brak ładowarki', 'delikatna', 'nie wymienna bateria', 'odprowadzenie ciepła']",1,0,"Wystawiono
10 miesięcy temu, 
po 5 dniach użytkowania",No date
18114198,AIR,No recommendation,5/5,"Jak zwykle nie zawiodłem się na firmie DJI. Kamera bardzo dobrze nagrywa w 4K, filmy w naprawdę bardzo dobrej jakości. Moim zdaniem lepsze od GoPro i Dji Action. Śledzenie twarzy - czyli Active Track spisuje się idealnie. Filmowanie w nocy bez szumów, bardzo szybki auto fokus. Mikrofon dołączony do zestawu robi robotę a także służy za pilota. W sumie naprawdę nie mam do czego się doczepić. Troszkę droga wersja Creator Combo, ale warto wydać te pieniądze na rozszerzony zestaw. Dla vlogerów, do podróży na chwilę obecną nie ma nic lepszego, a powiem nawet że dorównuje jakością filmu nawet do Sony serii 7. Polecam.","['funkcje ok', 'jakość wykonania', 'obraz ok', 'ostrość']",[],0,0,"Wystawiono
2 lata temu",No date
18571226,t...0,No recommendation,5/5,"Sprawdzam dopiero....ale czuję że to będzie ""kozak""....","['funkcje ok', 'jakość wykonania', 'obraz ok', 'ostrość', 'super obraz', 'wygląd', 'zgrabna mała']",['brak ładowarki'],0,0,"Wystawiono
rok temu, 
po 2 tygodniach użytkowania",No date
18195796,v...o,No recommendation,5/5,Dji osmo pocket 3 jest super;) polecam!,"['funkcje ok', 'jakość wykonania', 'ostrość', 'wygląd']",[],0,1,"Wystawiono
2 lata temu, 
po miesiącu użytkowania",No date
18650210,d...a,No recommendation,5/5,"Chyba najlepszy produkt względem ceny i możliwości od konkurencji. W pierwszym wrażeniu gdy oglądałem recenzje video odniosłem wrażenie, że produkt będzie bardzo lichy delikatny, ale jak to bywa w przypadku produktów od DJI (przynajmniej te co ja mam) produkt jest wykonany z dobrego tworzywa, solidny, nie mam z nim żadnego problemu. Polecam","['funkcje ok', 'jakość wykonania', 'ostrość', 'wygląd']",[],0,0,"Wystawiono
11 miesięcy temu, 
po 6 dniach użytkowania",No date
19479771,b...r,No recommendation,5/5,"Kamera nagrywa po prostu ekstra. Masa trybów i funkcji. Bardzo domyślna nawet dla laika. W zestawie creator combo bardzo na plus dodatkowa bateria, mikrofon i obiektyw szerokokątny i torba, reszta to takie bajery. Świetny stosunek jakości do ceny.","['funkcje ok', 'jakość wykonania', 'ostrość', 'wygląd']",[],0,0,"Wystawiono
3 tygodnie temu, 
po 3 tygodniach użytkowania",No date
19147976,Marcin,No recommendation,5/5,"Jak na takie małe urządzenie to jakość obrazu i dźwięku super. Na razie za krótko mam ten sprzęt żeby coś więcej napisać, ale na ten moment jestem bardzo zadowolony. Za jakiś czas napiszę coś więcej. Pozdrawiam","['funkcje ok', 'jakość wykonania', 'ostrość', 'super obraz', 'wygląd', 'zgrabna mała']",[],0,0,"Wystawiono
5 miesięcy temu, 
po 6 dniach użytkowania",No date
19140925,d...i,No recommendation,5/5,Produkt spełnia moje oczekiwania. Jakość jako to u dji nie mam do czego się przyczepić. A obsługa sklepu avpartner - mistrzowsko jak za każdym razem przy zakupach w tym sklepie.,"['funkcje ok', 'jakość wykonania', 'obraz ok', 'ostrość', 'wygląd']",[],0,0,"Wystawiono
5 miesięcy temu, 
po miesiącu użytkowania",No date
19460926,b...a,No recommendation,5/5,"Genialna kamera! Na wyjazdy, dla vlogerów! Lekka, mała, łatwa w obsłudze ale brak slow czego ona nie robi! Tylko obiadu nie podaje hehe 
Polecam ale dostepnosc graniczy z cudem!","['delikatna', 'etui', 'funkcje ok', 'jakość wykonania', 'obraz ok', 'ostrość', 'super obraz', 'wygląd', 'zgrabna mała']",[],0,0,"Wystawiono
miesiąc temu, 
po 2 tygodniach użytkowania",No date
19262709,j...i,No recommendation,"4,5/5","Idealna do krótkich form w pionie, w poziomie wymaga przyzwyczajenia. Skuteczna stabilizacja. Mikrofon wystrczający, chociaż do podcastów warto zainwestować w coś większego.",[],[],0,0,"Wystawiono
4 miesiące temu, 
po 2 tygodniach użytkowania",No date
